Root node created. Lower Bound: 96
Path: 0 7 2 1 3 | Lower Bound: 50
Path: 0 7 2 1 4 | Lower Bound: 57
Path: 0 7 2 1 5 | Lower Bound: 59
Path: 0 7 2 1 6 | Lower Bound: 60
Path: 0 7 2 1 8 | Lower Bound: 51
Path: 0 7 2 1 9 | Lower Bound: 57
Path: 0 2 4 5 1 | Lower Bound: 62
Path: 0 2 4 5 3 | Lower Bound: 52
Path: 0 2 4 5 6 | Lower Bound: 53
Path: 0 2 4 5 7 | Lower Bound: 58
Path: 0 2 4 5 8 | Lower Bound: 60
Path: 0 2 4 5 9 | Lower Bound: 54
Path: 0 1 6 5 2 | Lower Bound: 59
Path: 0 1 6 5 3 | Lower Bound: 53
Path: 0 1 6 5 4 | Lower Bound: 47
Path: 0 1 6 5 7 | Lower Bound: 63
Path: 0 1 6 5 8 | Lower Bound: 63
Path: 0 1 6 5 9 | Lower Bound: 61
Path: 0 3 4 1 | Lower Bound: 49
Path: 0 3 4 2 | Lower Bound: 44
Path: 0 3 4 5 | Lower Bound: 46
Path: 0 3 4 6 | Lower Bound: 54
Path: 0 3 4 7 | Lower Bound: 55
Path: 0 3 4 8 | Lower Bound: 51
Path: 0 3 4 9 | Lower Bound: 54
Path: 0 7 4 9 1 | Lower Bound: 50
Path: 0 7 4 9 2 | Lower Bound: 56
Path: 0 7 4 9 3 | Lower Bound: 59
Path: 0 7 4 9 5 | Lower Bound: 60
Path: 0 7 4 9 6 | Lower Bound: 57
Path: 0 7 4 9 8 | Lower Bound: 59
Path: 0 7 4 6 1 | Lower Bound: 65
Path: 0 7 4 6 2 | Lower Bound: 64
Path: 0 7 4 6 3 | Lower Bound: 65
Path: 0 7 4 6 5 | Lower Bound: 48
Path: 0 7 4 6 8 | Lower Bound: 66
Path: 0 7 4 6 9 | Lower Bound: 57
Path: 0 7 4 1 2 | Lower Bound: 57
Path: 0 7 4 1 3 | Lower Bound: 50
Path: 0 7 4 1 5 | Lower Bound: 58
Path: 0 7 4 1 6 | Lower Bound: 56
Path: 0 7 4 1 8 | Lower Bound: 52
Path: 0 7 4 1 9 | Lower Bound: 61
Path: 0 5 4 1 | Lower Bound: 54
Path: 0 5 4 2 | Lower Bound: 51
Path: 0 5 4 3 | Lower Bound: 59
Path: 0 5 4 6 | Lower Bound: 56
Path: 0 5 4 7 | Lower Bound: 59
Path: 0 5 4 8 | Lower Bound: 58
Path: 0 5 4 9 | Lower Bound: 53
Path: 0 6 1 8 2 | Lower Bound: 60
Path: 0 6 1 8 3 | Lower Bound: 48
Path: 0 6 1 8 4 | Lower Bound: 50
Path: 0 6 1 8 5 | Lower Bound: 53
Path: 0 6 1 8 7 | Lower Bound: 60
Path: 0 6 1 8 9 | Lower Bound: 58
Path: 0 1 9 2 | Lower Bound: 55
Path: 0 1 9 3 | Lower Bound: 54
Path: 0 1 9 4 | Lower Bound: 58
Path: 0 1 9 5 | Lower Bound: 59
Path: 0 1 9 6 | Lower Bound: 61
Path: 0 1 9 7 | Lower Bound: 51
Path: 0 1 9 8 | Lower Bound: 47
Path: 0 3 2 9 1 | Lower Bound: 54
Path: 0 3 2 9 4 | Lower Bound: 62
Path: 0 3 2 9 5 | Lower Bound: 62
Path: 0 3 2 9 6 | Lower Bound: 61
Path: 0 3 2 9 7 | Lower Bound: 54
Path: 0 3 2 9 8 | Lower Bound: 51
Path: 0 6 3 1 2 | Lower Bound: 56
Path: 0 6 3 1 4 | Lower Bound: 61
Path: 0 6 3 1 5 | Lower Bound: 59
Path: 0 6 3 1 7 | Lower Bound: 49
Path: 0 6 3 1 8 | Lower Bound: 51
Path: 0 6 3 1 9 | Lower Bound: 63
Path: 0 3 9 1 | Lower Bound: 46
Path: 0 3 9 2 | Lower Bound: 54
Path: 0 3 9 4 | Lower Bound: 59
Path: 0 3 9 5 | Lower Bound: 59
Path: 0 3 9 6 | Lower Bound: 57
Path: 0 3 9 7 | Lower Bound: 50
Path: 0 3 9 8 | Lower Bound: 47
Path: 0 4 9 1 | Lower Bound: 53
Path: 0 4 9 2 | Lower Bound: 57
Path: 0 4 9 3 | Lower Bound: 63
Path: 0 4 9 5 | Lower Bound: 62
Path: 0 4 9 6 | Lower Bound: 61
Path: 0 4 9 7 | Lower Bound: 56
Path: 0 4 9 8 | Lower Bound: 51
Path: 0 6 5 9 1 | Lower Bound: 50
Path: 0 6 5 9 2 | Lower Bound: 57
Path: 0 6 5 9 3 | Lower Bound: 53
Path: 0 6 5 9 4 | Lower Bound: 55
Path: 0 6 5 9 7 | Lower Bound: 51
Path: 0 6 5 9 8 | Lower Bound: 49
Path: 0 7 2 5 1 | Lower Bound: 62
Path: 0 7 2 5 3 | Lower Bound: 53
Path: 0 7 2 5 4 | Lower Bound: 47
Path: 0 7 2 5 6 | Lower Bound: 54
Path: 0 7 2 5 8 | Lower Bound: 67
Path: 0 7 2 5 9 | Lower Bound: 58
Path: 0 8 4 2 1 | Lower Bound: 57
Path: 0 8 4 2 3 | Lower Bound: 46
Path: 0 8 4 2 5 | Lower Bound: 55
Path: 0 8 4 2 6 | Lower Bound: 66
Path: 0 8 4 2 7 | Lower Bound: 63
Path: 0 8 4 2 9 | Lower Bound: 47
Path: 0 7 8 6 1 | Lower Bound: 64
Path: 0 7 8 6 2 | Lower Bound: 62
Path: 0 7 8 6 3 | Lower Bound: 60
Path: 0 7 8 6 4 | Lower Bound: 60
Path: 0 7 8 6 5 | Lower Bound: 45
Path: 0 7 8 6 9 | Lower Bound: 52
Path: 0 2 9 1 3 | Lower Bound: 55
Path: 0 2 9 1 4 | Lower Bound: 59
Path: 0 2 9 1 5 | Lower Bound: 63
Path: 0 2 9 1 6 | Lower Bound: 58
Path: 0 2 9 1 7 | Lower Bound: 47
Path: 0 2 9 1 8 | Lower Bound: 46
Path: 0 7 9 1 2 | Lower Bound: 57
Path: 0 7 9 1 3 | Lower Bound: 54
Path: 0 7 9 1 4 | Lower Bound: 60
Path: 0 7 9 1 5 | Lower Bound: 61
Path: 0 7 9 1 6 | Lower Bound: 63
Path: 0 7 9 1 8 | Lower Bound: 50
Path: 0 7 1 3 2 | Lower Bound: 50
Path: 0 7 1 3 4 | Lower Bound: 55
Path: 0 7 1 3 5 | Lower Bound: 55
Path: 0 7 1 3 6 | Lower Bound: 65
Path: 0 7 1 3 8 | Lower Bound: 57
Path: 0 7 1 3 9 | Lower Bound: 60
Path: 0 1 8 6 2 | Lower Bound: 58
Path: 0 1 8 6 3 | Lower Bound: 53
Path: 0 1 8 6 4 | Lower Bound: 58
Path: 0 1 8 6 5 | Lower Bound: 43
Path: 0 1 8 6 7 | Lower Bound: 59
Path: 0 1 8 6 9 | Lower Bound: 50
Path: 0 6 8 3 1 | Lower Bound: 53
Path: 0 6 8 3 2 | Lower Bound: 49
Path: 0 6 8 3 4 | Lower Bound: 56
Path: 0 6 8 3 5 | Lower Bound: 53
Path: 0 6 8 3 7 | Lower Bound: 66
Path: 0 6 8 3 9 | Lower Bound: 56
Path: 0 7 5 3 1 | Lower Bound: 49
Path: 0 7 5 3 2 | Lower Bound: 48
Path: 0 7 5 3 4 | Lower Bound: 51
Path: 0 7 5 3 6 | Lower Bound: 58
Path: 0 7 5 3 8 | Lower Bound: 59
Path: 0 7 5 3 9 | Lower Bound: 53
Path: 0 6 9 7 1 | Lower Bound: 64
Path: 0 6 9 7 2 | Lower Bound: 50
Path: 0 6 9 7 3 | Lower Bound: 62
Path: 0 6 9 7 4 | Lower Bound: 53
Path: 0 6 9 7 5 | Lower Bound: 52
Path: 0 6 9 7 8 | Lower Bound: 54
Path: 0 1 7 6 2 | Lower Bound: 58
Path: 0 1 7 6 3 | Lower Bound: 52
Path: 0 1 7 6 4 | Lower Bound: 56
Path: 0 1 7 6 5 | Lower Bound: 42
Path: 0 1 7 6 8 | Lower Bound: 57
Path: 0 1 7 6 9 | Lower Bound: 51
Path: 0 4 1 2 | Lower Bound: 60
Path: 0 4 1 3 | Lower Bound: 55
Path: 0 4 1 5 | Lower Bound: 61
Path: 0 4 1 6 | Lower Bound: 58
Path: 0 4 1 7 | Lower Bound: 51
Path: 0 4 1 8 | Lower Bound: 48
Path: 0 4 1 9 | Lower Bound: 65
Path: 0 7 3 1 2 | Lower Bound: 58
Path: 0 7 3 1 4 | Lower Bound: 62
Path: 0 7 3 1 5 | Lower Bound: 61
Path: 0 7 3 1 6 | Lower Bound: 58
Path: 0 7 3 1 8 | Lower Bound: 56
Path: 0 7 3 1 9 | Lower Bound: 66
Path: 0 1 2 3 4 | Lower Bound: 55
Path: 0 1 2 3 5 | Lower Bound: 54
Path: 0 1 2 3 6 | Lower Bound: 62
Path: 0 1 2 3 7 | Lower Bound: 55
Path: 0 1 2 3 8 | Lower Bound: 50
Path: 0 1 2 3 9 | Lower Bound: 57
Path: 0 7 2 9 1 3 | Lower Bound: 54
Path: 0 7 2 9 1 4 | Lower Bound: 60
Path: 0 7 2 9 1 5 | Lower Bound: 63
Path: 0 7 2 9 1 6 | Lower Bound: 62
Path: 0 7 2 9 1 8 | Lower Bound: 50
Path: 0 2 3 7 1 | Lower Bound: 60
Path: 0 2 3 7 4 | Lower Bound: 59
Path: 0 2 3 7 5 | Lower Bound: 58
Path: 0 2 3 7 6 | Lower Bound: 50
Path: 0 2 3 7 8 | Lower Bound: 58
Path: 0 2 3 7 9 | Lower Bound: 59
Path: 0 2 3 5 1 | Lower Bound: 61
Path: 0 2 3 5 4 | Lower Bound: 48
Path: 0 2 3 5 6 | Lower Bound: 55
Path: 0 2 3 5 7 | Lower Bound: 58
Path: 0 2 3 5 8 | Lower Bound: 62
Path: 0 2 3 5 9 | Lower Bound: 57
Path: 0 2 9 7 1 | Lower Bound: 59
Path: 0 2 9 7 3 | Lower Bound: 60
Path: 0 2 9 7 4 | Lower Bound: 58
Path: 0 2 9 7 5 | Lower Bound: 59
Path: 0 2 9 7 6 | Lower Bound: 50
Path: 0 2 9 7 8 | Lower Bound: 58
Path: 0 9 4 1 | Lower Bound: 53
Path: 0 9 4 2 | Lower Bound: 45
Path: 0 9 4 3 | Lower Bound: 61
Path: 0 9 4 5 | Lower Bound: 46
Path: 0 9 4 6 | Lower Bound: 52
Path: 0 9 4 7 | Lower Bound: 57
Path: 0 9 4 8 | Lower Bound: 51
Path: 0 9 3 1 | Lower Bound: 45
Path: 0 9 3 2 | Lower Bound: 42
Path: 0 9 3 4 | Lower Bound: 51
Path: 0 9 3 5 | Lower Bound: 49
Path: 0 9 3 6 | Lower Bound: 56
Path: 0 9 3 7 | Lower Bound: 49
Path: 0 9 3 8 | Lower Bound: 44
Path: 0 1 8 5 2 | Lower Bound: 61
Path: 0 1 8 5 3 | Lower Bound: 56
Path: 0 1 8 5 4 | Lower Bound: 49
Path: 0 1 8 5 6 | Lower Bound: 59
Path: 0 1 8 5 7 | Lower Bound: 64
Path: 0 1 8 5 9 | Lower Bound: 65
Path: 0 6 5 7 1 | Lower Bound: 62
Path: 0 6 5 7 2 | Lower Bound: 54
Path: 0 6 5 7 3 | Lower Bound: 58
Path: 0 6 5 7 4 | Lower Bound: 53
Path: 0 6 5 7 8 | Lower Bound: 53
Path: 0 6 5 7 9 | Lower Bound: 57
Path: 0 6 5 2 1 | Lower Bound: 52
Path: 0 6 5 2 3 | Lower Bound: 42
Path: 0 6 5 2 4 | Lower Bound: 46
Path: 0 6 5 2 7 | Lower Bound: 49
Path: 0 6 5 2 8 | Lower Bound: 48
Path: 0 6 5 2 9 | Lower Bound: 45
Path: 0 6 1 3 2 | Lower Bound: 49
Path: 0 6 1 3 4 | Lower Bound: 57
Path: 0 6 1 3 5 | Lower Bound: 54
Path: 0 6 1 3 7 | Lower Bound: 56
Path: 0 6 1 3 8 | Lower Bound: 55
Path: 0 6 1 3 9 | Lower Bound: 58
Path: 0 7 5 6 1 | Lower Bound: 59
Path: 0 7 5 6 2 | Lower Bound: 61
Path: 0 7 5 6 3 | Lower Bound: 54
Path: 0 7 5 6 4 | Lower Bound: 59
Path: 0 7 5 6 8 | Lower Bound: 59
Path: 0 7 5 6 9 | Lower Bound: 50
Path: 0 6 2 3 1 | Lower Bound: 50
Path: 0 6 2 3 4 | Lower Bound: 59
Path: 0 6 2 3 5 | Lower Bound: 53
Path: 0 6 2 3 7 | Lower Bound: 54
Path: 0 6 2 3 8 | Lower Bound: 53
Path: 0 6 2 3 9 | Lower Bound: 52
Path: 0 1 7 2 3 | Lower Bound: 44
Path: 0 1 7 2 4 | Lower Bound: 49
Path: 0 1 7 2 5 | Lower Bound: 54
Path: 0 1 7 2 6 | Lower Bound: 63
Path: 0 1 7 2 8 | Lower Bound: 54
Path: 0 1 7 2 9 | Lower Bound: 45
Path: 0 8 1 3 2 | Lower Bound: 52
Path: 0 8 1 3 4 | Lower Bound: 59
Path: 0 8 1 3 5 | Lower Bound: 57
Path: 0 8 1 3 6 | Lower Bound: 68
Path: 0 8 1 3 7 | Lower Bound: 65
Path: 0 8 1 3 9 | Lower Bound: 62
Path: 0 8 4 9 1 | Lower Bound: 55
Path: 0 8 4 9 2 | Lower Bound: 59
Path: 0 8 4 9 3 | Lower Bound: 63
Path: 0 8 4 9 5 | Lower Bound: 67
Path: 0 8 4 9 6 | Lower Bound: 64
Path: 0 8 4 9 7 | Lower Bound: 67
Path: 0 2 3 4 1 | Lower Bound: 51
Path: 0 2 3 4 5 | Lower Bound: 48
Path: 0 2 3 4 6 | Lower Bound: 61
Path: 0 2 3 4 7 | Lower Bound: 57
Path: 0 2 3 4 8 | Lower Bound: 53
Path: 0 2 3 4 9 | Lower Bound: 51
Path: 0 8 4 5 1 | Lower Bound: 60
Path: 0 8 4 5 2 | Lower Bound: 54
Path: 0 8 4 5 3 | Lower Bound: 50
Path: 0 8 4 5 6 | Lower Bound: 54
Path: 0 8 4 5 7 | Lower Bound: 60
Path: 0 8 4 5 9 | Lower Bound: 57
Path: 0 2 4 9 1 | Lower Bound: 53
Path: 0 2 4 9 3 | Lower Bound: 58
Path: 0 2 4 9 5 | Lower Bound: 62
Path: 0 2 4 9 6 | Lower Bound: 61
Path: 0 2 4 9 7 | Lower Bound: 56
Path: 0 2 4 9 8 | Lower Bound: 51
Path: 0 2 9 3 1 | Lower Bound: 56
Path: 0 2 9 3 4 | Lower Bound: 59
Path: 0 2 9 3 5 | Lower Bound: 57
Path: 0 2 9 3 6 | Lower Bound: 64
Path: 0 2 9 3 7 | Lower Bound: 58
Path: 0 2 9 3 8 | Lower Bound: 53
Path: 0 9 5 1 | Lower Bound: 68
Path: 0 9 5 2 | Lower Bound: 57
Path: 0 9 5 3 | Lower Bound: 58
Path: 0 9 5 4 | Lower Bound: 48
Path: 0 9 5 6 | Lower Bound: 59
Path: 0 9 5 7 | Lower Bound: 60
Path: 0 9 5 8 | Lower Bound: 67
Path: 0 7 1 8 2 | Lower Bound: 63
Path: 0 7 1 8 3 | Lower Bound: 47
Path: 0 7 1 8 4 | Lower Bound: 52
Path: 0 7 1 8 5 | Lower Bound: 56
Path: 0 7 1 8 6 | Lower Bound: 55
Path: 0 7 1 8 9 | Lower Bound: 62
Path: 0 6 5 4 2 1 | Lower Bound: 59
Path: 0 6 5 4 2 3 | Lower Bound: 52
Path: 0 6 5 4 2 7 | Lower Bound: 56
Path: 0 6 5 4 2 8 | Lower Bound: 58
Path: 0 6 5 4 2 9 | Lower Bound: 49
Path: 0 6 7 5 1 | Lower Bound: 70
Path: 0 6 7 5 2 | Lower Bound: 62
Path: 0 6 7 5 3 | Lower Bound: 56
Path: 0 6 7 5 4 | Lower Bound: 50
Path: 0 6 7 5 8 | Lower Bound: 70
Path: 0 6 7 5 9 | Lower Bound: 60
Path: 0 1 3 5 2 | Lower Bound: 58
Path: 0 1 3 5 4 | Lower Bound: 50
Path: 0 1 3 5 6 | Lower Bound: 58
Path: 0 1 3 5 7 | Lower Bound: 60
Path: 0 1 3 5 8 | Lower Bound: 64
Path: 0 1 3 5 9 | Lower Bound: 61
Path: 0 4 8 1 | Lower Bound: 57
Path: 0 4 8 2 | Lower Bound: 64
Path: 0 4 8 3 | Lower Bound: 52
Path: 0 4 8 5 | Lower Bound: 63
Path: 0 4 8 6 | Lower Bound: 56
Path: 0 4 8 7 | Lower Bound: 67
Path: 0 4 8 9 | Lower Bound: 61
Path: 0 3 1 8 2 | Lower Bound: 63
Path: 0 3 1 8 4 | Lower Bound: 57
Path: 0 3 1 8 5 | Lower Bound: 59
Path: 0 3 1 8 6 | Lower Bound: 58
Path: 0 3 1 8 7 | Lower Bound: 62
Path: 0 3 1 8 9 | Lower Bound: 66
Path: 0 7 2 3 1 4 | Lower Bound: 60
Path: 0 7 2 3 1 5 | Lower Bound: 62
Path: 0 7 2 3 1 6 | Lower Bound: 61
Path: 0 7 2 3 1 8 | Lower Bound: 55
Path: 0 7 2 3 1 9 | Lower Bound: 62
Path: 0 9 1 8 2 | Lower Bound: 62
Path: 0 9 1 8 3 | Lower Bound: 49
Path: 0 9 1 8 4 | Lower Bound: 55
Path: 0 9 1 8 5 | Lower Bound: 58
Path: 0 9 1 8 6 | Lower Bound: 57
Path: 0 9 1 8 7 | Lower Bound: 56
Path: 0 7 6 5 3 1 | Lower Bound: 53
Path: 0 7 6 5 3 2 | Lower Bound: 50
Path: 0 7 6 5 3 4 | Lower Bound: 58
Path: 0 7 6 5 3 8 | Lower Bound: 59
Path: 0 7 6 5 3 9 | Lower Bound: 58
Path: 0 6 3 8 1 | Lower Bound: 57
Path: 0 6 3 8 2 | Lower Bound: 62
Path: 0 6 3 8 4 | Lower Bound: 56
Path: 0 6 3 8 5 | Lower Bound: 57
Path: 0 6 3 8 7 | Lower Bound: 65
Path: 0 6 3 8 9 | Lower Bound: 62
Path: 0 1 8 3 2 4 | Lower Bound: 56
Path: 0 1 8 3 2 5 | Lower Bound: 59
Path: 0 1 8 3 2 6 | Lower Bound: 64
Path: 0 1 8 3 2 7 | Lower Bound: 62
Path: 0 1 8 3 2 9 | Lower Bound: 54
Path: 0 6 3 5 1 | Lower Bound: 64
Path: 0 6 3 5 2 | Lower Bound: 58
Path: 0 6 3 5 4 | Lower Bound: 52
Path: 0 6 3 5 7 | Lower Bound: 60
Path: 0 6 3 5 8 | Lower Bound: 65
Path: 0 6 3 5 9 | Lower Bound: 62
Path: 0 2 6 1 | Lower Bound: 57
Path: 0 2 6 3 | Lower Bound: 55
Path: 0 2 6 4 | Lower Bound: 61
Path: 0 2 6 5 | Lower Bound: 48
Path: 0 2 6 7 | Lower Bound: 54
Path: 0 2 6 8 | Lower Bound: 57
Path: 0 2 6 9 | Lower Bound: 50
Path: 0 7 6 3 2 1 | Lower Bound: 63
Path: 0 7 6 3 2 4 | Lower Bound: 64
Path: 0 7 6 3 2 5 | Lower Bound: 62
Path: 0 7 6 3 2 8 | Lower Bound: 73
Path: 0 7 6 3 2 9 | Lower Bound: 52
Path: 0 6 2 9 1 | Lower Bound: 52
Path: 0 6 2 9 3 | Lower Bound: 56
Path: 0 6 2 9 4 | Lower Bound: 59
Path: 0 6 2 9 5 | Lower Bound: 62
Path: 0 6 2 9 7 | Lower Bound: 55
Path: 0 6 2 9 8 | Lower Bound: 53
Path: 0 9 8 3 1 | Lower Bound: 51
Path: 0 9 8 3 2 | Lower Bound: 48
Path: 0 9 8 3 4 | Lower Bound: 58
Path: 0 9 8 3 5 | Lower Bound: 58
Path: 0 9 8 3 6 | Lower Bound: 63
Path: 0 9 8 3 7 | Lower Bound: 63
Path: 0 1 7 8 2 | Lower Bound: 62
Path: 0 1 7 8 3 | Lower Bound: 46
Path: 0 1 7 8 4 | Lower Bound: 51
Path: 0 1 7 8 5 | Lower Bound: 55
Path: 0 1 7 8 6 | Lower Bound: 54
Path: 0 1 7 8 9 | Lower Bound: 61
Path: 0 4 6 1 | Lower Bound: 64
Path: 0 4 6 2 | Lower Bound: 66
Path: 0 4 6 3 | Lower Bound: 67
Path: 0 4 6 5 | Lower Bound: 50
Path: 0 4 6 7 | Lower Bound: 60
Path: 0 4 6 8 | Lower Bound: 63
Path: 0 4 6 9 | Lower Bound: 58
Path: 0 7 4 2 3 1 | Lower Bound: 53
Path: 0 7 4 2 3 5 | Lower Bound: 57
Path: 0 7 4 2 3 6 | Lower Bound: 71
Path: 0 7 4 2 3 8 | Lower Bound: 59
Path: 0 7 4 2 3 9 | Lower Bound: 56
Path: 0 1 7 5 2 | Lower Bound: 61
Path: 0 1 7 5 3 | Lower Bound: 55
Path: 0 1 7 5 4 | Lower Bound: 49
Path: 0 1 7 5 6 | Lower Bound: 61
Path: 0 1 7 5 8 | Lower Bound: 69
Path: 0 1 7 5 9 | Lower Bound: 63
Path: 0 7 2 8 1 | Lower Bound: 60
Path: 0 7 2 8 3 | Lower Bound: 48
Path: 0 7 2 8 4 | Lower Bound: 59
Path: 0 7 2 8 5 | Lower Bound: 63
Path: 0 7 2 8 6 | Lower Bound: 54
Path: 0 7 2 8 9 | Lower Bound: 62
Path: 0 6 4 5 1 | Lower Bound: 64
Path: 0 6 4 5 2 | Lower Bound: 58
Path: 0 6 4 5 3 | Lower Bound: 58
Path: 0 6 4 5 7 | Lower Bound: 60
Path: 0 6 4 5 8 | Lower Bound: 65
Path: 0 6 4 5 9 | Lower Bound: 58
Path: 0 1 4 5 2 | Lower Bound: 60
Path: 0 1 4 5 3 | Lower Bound: 56
Path: 0 1 4 5 6 | Lower Bound: 58
Path: 0 1 4 5 7 | Lower Bound: 60
Path: 0 1 4 5 8 | Lower Bound: 64
Path: 0 1 4 5 9 | Lower Bound: 63
Path: 0 7 6 1 2 | Lower Bound: 55
Path: 0 7 6 1 3 | Lower Bound: 48
Path: 0 7 6 1 4 | Lower Bound: 53
Path: 0 7 6 1 5 | Lower Bound: 54
Path: 0 7 6 1 8 | Lower Bound: 48
Path: 0 7 6 1 9 | Lower Bound: 59
Path: 0 8 4 1 2 | Lower Bound: 61
Path: 0 8 4 1 3 | Lower Bound: 54
Path: 0 8 4 1 5 | Lower Bound: 62
Path: 0 8 4 1 6 | Lower Bound: 59
Path: 0 8 4 1 7 | Lower Bound: 58
Path: 0 8 4 1 9 | Lower Bound: 66
Path: 0 3 2 8 1 | Lower Bound: 59
Path: 0 3 2 8 4 | Lower Bound: 59
Path: 0 3 2 8 5 | Lower Bound: 62
Path: 0 3 2 8 6 | Lower Bound: 60
Path: 0 3 2 8 7 | Lower Bound: 64
Path: 0 3 2 8 9 | Lower Bound: 62
Path: 0 6 5 2 3 1 | Lower Bound: 55
Path: 0 6 5 2 3 4 | Lower Bound: 59
Path: 0 6 5 2 3 7 | Lower Bound: 59
Path: 0 6 5 2 3 8 | Lower Bound: 55
Path: 0 6 5 2 3 9 | Lower Bound: 58
Path: 0 2 1 8 3 | Lower Bound: 51
Path: 0 2 1 8 4 | Lower Bound: 56
Path: 0 2 1 8 5 | Lower Bound: 63
Path: 0 2 1 8 6 | Lower Bound: 59
Path: 0 2 1 8 7 | Lower Bound: 59
Path: 0 2 1 8 9 | Lower Bound: 65
Path: 0 9 3 2 1 | Lower Bound: 63
Path: 0 9 3 2 4 | Lower Bound: 57
Path: 0 9 3 2 5 | Lower Bound: 59
Path: 0 9 3 2 6 | Lower Bound: 64
Path: 0 9 3 2 7 | Lower Bound: 56
Path: 0 9 3 2 8 | Lower Bound: 54
Path: 0 1 7 6 5 2 | Lower Bound: 63
Path: 0 1 7 6 5 3 | Lower Bound: 57
Path: 0 1 7 6 5 4 | Lower Bound: 51
Path: 0 1 7 6 5 8 | Lower Bound: 71
Path: 0 1 7 6 5 9 | Lower Bound: 62
Path: 0 8 3 4 1 | Lower Bound: 54
Path: 0 8 3 4 2 | Lower Bound: 48
Path: 0 8 3 4 5 | Lower Bound: 50
Path: 0 8 3 4 6 | Lower Bound: 57
Path: 0 8 3 4 7 | Lower Bound: 73
Path: 0 8 3 4 9 | Lower Bound: 58
Path: 0 7 8 3 2 1 | Lower Bound: 62
Path: 0 7 8 3 2 4 | Lower Bound: 53
Path: 0 7 8 3 2 5 | Lower Bound: 59
Path: 0 7 8 3 2 6 | Lower Bound: 68
Path: 0 7 8 3 2 9 | Lower Bound: 51
Path: 0 8 6 9 1 | Lower Bound: 51
Path: 0 8 6 9 2 | Lower Bound: 59
Path: 0 8 6 9 3 | Lower Bound: 58
Path: 0 8 6 9 4 | Lower Bound: 60
Path: 0 8 6 9 5 | Lower Bound: 61
Path: 0 8 6 9 7 | Lower Bound: 61
Path: 0 2 5 4 1 | Lower Bound: 59
Path: 0 2 5 4 3 | Lower Bound: 62
Path: 0 2 5 4 6 | Lower Bound: 59
Path: 0 2 5 4 7 | Lower Bound: 64
Path: 0 2 5 4 8 | Lower Bound: 58
Path: 0 2 5 4 9 | Lower Bound: 56
Path: 0 6 7 4 1 | Lower Bound: 63
Path: 0 6 7 4 2 | Lower Bound: 55
Path: 0 6 7 4 3 | Lower Bound: 67
Path: 0 6 7 4 5 | Lower Bound: 50
Path: 0 6 7 4 8 | Lower Bound: 65
Path: 0 6 7 4 9 | Lower Bound: 59
Path: 0 1 3 7 2 | Lower Bound: 56
Path: 0 1 3 7 4 | Lower Bound: 61
Path: 0 1 3 7 5 | Lower Bound: 59
Path: 0 1 3 7 6 | Lower Bound: 54
Path: 0 1 3 7 8 | Lower Bound: 61
Path: 0 1 3 7 9 | Lower Bound: 67
Path: 0 7 6 4 1 | Lower Bound: 62
Path: 0 7 6 4 2 | Lower Bound: 54
Path: 0 7 6 4 3 | Lower Bound: 66
Path: 0 7 6 4 5 | Lower Bound: 49
Path: 0 7 6 4 8 | Lower Bound: 64
Path: 0 7 6 4 9 | Lower Bound: 58
Path: 0 3 1 7 2 | Lower Bound: 56
Path: 0 3 1 7 4 | Lower Bound: 61
Path: 0 3 1 7 5 | Lower Bound: 59
Path: 0 3 1 7 6 | Lower Bound: 54
Path: 0 3 1 7 8 | Lower Bound: 61
Path: 0 3 1 7 9 | Lower Bound: 67
Path: 0 7 4 3 1 | Lower Bound: 55
Path: 0 7 4 3 2 | Lower Bound: 50
Path: 0 7 4 3 5 | Lower Bound: 59
Path: 0 7 4 3 6 | Lower Bound: 76
Path: 0 7 4 3 8 | Lower Bound: 67
Path: 0 7 4 3 9 | Lower Bound: 63
Path: 0 6 8 4 1 | Lower Bound: 59
Path: 0 6 8 4 2 | Lower Bound: 56
Path: 0 6 8 4 3 | Lower Bound: 64
Path: 0 6 8 4 5 | Lower Bound: 51
Path: 0 6 8 4 7 | Lower Bound: 68
Path: 0 6 8 4 9 | Lower Bound: 58
Path: 0 8 2 3 1 | Lower Bound: 57
Path: 0 8 2 3 4 | Lower Bound: 61
Path: 0 8 2 3 5 | Lower Bound: 60
Path: 0 8 2 3 6 | Lower Bound: 70
Path: 0 8 2 3 7 | Lower Bound: 67
Path: 0 8 2 3 9 | Lower Bound: 58
Path: 0 6 1 7 2 | Lower Bound: 54
Path: 0 6 1 7 3 | Lower Bound: 59
Path: 0 6 1 7 4 | Lower Bound: 53
Path: 0 6 1 7 5 | Lower Bound: 53
Path: 0 6 1 7 8 | Lower Bound: 54
Path: 0 6 1 7 9 | Lower Bound: 61
Path: 0 6 3 7 1 | Lower Bound: 64
Path: 0 6 3 7 2 | Lower Bound: 55
Path: 0 6 3 7 4 | Lower Bound: 68
Path: 0 6 3 7 5 | Lower Bound: 60
Path: 0 6 3 7 8 | Lower Bound: 66
Path: 0 6 3 7 9 | Lower Bound: 66
Path: 0 6 9 2 1 | Lower Bound: 58
Path: 0 6 9 2 3 | Lower Bound: 49
Path: 0 6 9 2 4 | Lower Bound: 53
Path: 0 6 9 2 5 | Lower Bound: 59
Path: 0 6 9 2 7 | Lower Bound: 56
Path: 0 6 9 2 8 | Lower Bound: 55
Path: 0 1 7 4 2 | Lower Bound: 52
Path: 0 1 7 4 3 | Lower Bound: 57
